"[Code]|[Description]|[IndustryID]|[Name]|[OKVEDID]|[ParentCode]|[ParentOKVEDID]" 
15.11.4|Эта группировка включает: - производство щетины, кишечного сырья и т.п.|29|Производство непищевых субпродуктов|185|15.11|181
15.12|-|29|Производство мяса сельскохозяйственной птицы и кроликов|186|15.1|180
15.12.1|Эта группировка включает: - подготовку мяса птицы, кроликов и аналогичных животных - производство свежего или замороженного мяса птицы в порциях - производство свежих или замороженных пищевых субпродуктов птицы Эта группировка также включает: - предоставление услуг по убою птицы, кроликов и аналогичных животных Эта группировка не включает: - производство жира сельскохозяйственной птицы, см. 15.11.3 - фасование мяса птицы за собственный счет предприятий и организаций оптовой торговли, см. 51.32.12 - предоставление услуг по фасованию и упаковыванию мяса птицы и кроликов, см. 74.82|29|Производство мяса и пищевых субпродуктов сельскохозяйственной птицы и кроликов|187|15.12|186
15.12.2|-|29|Производство пера и пуха|188|15.12|186
15.13|-|29|Производство продуктов из мяса и мяса птицы|189|15.1|180
15.13.1|Эта группировка включает: - производство сушеного, соленого или копченого мяса - производство мясных продуктов: сосисок и сарделек, салями, сервелата и других копченых колбас, паштетов, заливных, рубленого мяса, вареного окорока, мясных экстрактов, соков и т.п. - производство готовых мясных блюд - производство мясных консервов с использованием различных способов консервирования - производство пищевой муки и порошка из мяса и мясных субпродуктов - производство порошка, муки и гранул из мяса, костей и зубов, непригодных для питания человека Эта группировка также включает: - производство экстрактов и соков из рыбы и водных беспозвоночных Эта группировка не включает: - фасование мяса, мяса птицы и кроликов за собственный счет предприятий и организаций оптовой торговли, см. 51.32 - предоставление услуг по фасованию и упаковыванию мяса, мяса птицы и кроликов, см. 74.82|29|Производство готовых и консервированных продуктов из мяса, мяса птицы, мясных субпродуктов и крови животных|190|15.13|189
15.13.9|-|29|Предоставление услуг по тепловой обработке и прочим способам переработки мясных продуктов|191|15.13|189
15.2|-|29|Переработка и консервирование рыбо- и морепродуктов|192|15|179
15.20|Эта группировка включает: - переработку и консервирование рыбы, ракообразных и моллюсков: охлаждение, замораживание, сушку, копчение, соление, заливку рассолом, консервирование в герметичной таре и т.п. - производство продуктов из рыбы, ракообразных, моллюсков: - рыбы, подвергнутой тепловой обработке - рыбного филе, прочего мяса рыбы, печени, икры и молоки, свежих, охлажденных или мороженых - заменителей икры - пищевой рыбной муки - непищевых муки, порошка и гранул из рыбы, ракообразных, моллюсков - прочих продуктов из рыбы или ракообразных, моллюсков, не включенных в другие группировки - производство готовых рыбных блюд Эта группировка также включает: - деятельность судов, занятых только переработкой и консервированием рыбы Эта группировка не включает: - деятельность судов, занимающихся как ловом, так и переработкой и консервированием рыбы, см. 05.01.1 - производство рыбьего жира и жиров морских млекопитающих, см. 15.41.1 - производство рыбных супов, см. 15.89.1|29|Переработка и консервирование рыбо- и морепродуктов|193|15.2|192
15.3|-|29|Переработка и консервирование картофеля, фруктов и овощей|194|15|179
15.31|Эта группировка включает: - производство замороженного приготовленного картофеля - производство сухого картофельного пюре - производство закусок из картофеля - производство картофельных чипсов - производство картофельной муки тонкого и грубого помола Эта группировка также включает: - промышленную чистку картофеля|29|Переработка и консервирование картофеля|195|15.3|194
15.32|Эта группировка включает: - производство фруктовых и овощных соков - производство концентратов и нектаров|29|Производство фруктовых и овощных соков|196|15.3|194
15.33|-|29|Переработка и консервирование фруктов и овощей, не включенных в другие группировки|197|15.3|194
15.33.1|Эта группировка включает: - консервирование овощей замораживанием, сушкой, солением, квашением, маринованием - консервирование овощей в герметичной таре и другими способами - производство пищевых продуктов из овощей Эта группировка не включает: - производство муки тонкого и грубого помола из сушеных бобовых растений, см. 15.61.2|29|Переработка и консервирование овощей|198|15.33|197
15.33.2|Эта группировка включает: - консервирование фруктов и орехов замораживанием, сушкой и т.п. - консервирование фруктов и орехов в герметичной таре и другими способами - производство джемов, мармеладов, фруктовых желе, фруктовых и ореховых пюре и прочих пищевых продуктов из фруктов - производство орехов, обжаренных, соленых или обработанных другими способами Эта группировка не включает: - консервирование фруктов и орехов в сахаре, см. 15.84.2|29|Переработка и консервирование фруктов и орехов|199|15.33|197
15.33.9|-|29|Предоставление услуг по тепловой обработке и прочим способам подготовки овощей и фруктов для консервирования|200|15.33|197
15.4|-|29|Производство растительных и животных масел и жиров|201|15|179
15.41|-|29|Производство неочищенных масел и жиров|202|15.4|201
15.41.1|Эта группировка включает: - производство технических животных жиров - производство животных жиров, используемых при изготовлении маргарина - производство неочищенных и рафинированных рыбьего жира и жиров морских млекопитающих Эта группировка не включает: - производство пищевых жиров крупного рогатого скота, овец, коз, свиней и сельскохозяйственной птицы, см. 15.11.3|29|Производство технических животных жиров, рыбьего жира и жиров морских млекопитающих|203|15.41|202
15.41.2|Эта группировка включает: - производство неочищенных растительных масел: соевого, подсолнечного, хлопкового, рапсового, сурепкового, горчичного, льняного, оливкового, пальмового и т.п. - производство необезжиренной муки тонкого и грубого помола из семян и плодов масличных культур - производство хлопкового пуха (линта), жмыхов и других побочных продуктов этого вида деятельности Эта группировка не включает: - влажный помол кукурузы, см. 15.62.2 - производство кукурузного масла, см. 15.62.1 - производство эфирных масел, см. 24.63|29|Производство неочищенных растительных масел|204|15.41|202
15.42|-|29|Производство рафинированных масел и жиров|205|15.4|201
15.42.1|Эта группировка включает: - производство рафинированных растительных масел (без подсолнечного, льняного, хлопкового, рапсового, сурепкового, горчичного, оливкового и т.п. - обработку растительных масел: промывку, кипячение, кислотную обработку, полимеризацию, дегидратацию, гидрогенизацию и т.п. Эта группировка не включает: - производство кукурузного масла, см. 15.62.1 - производство непищевых животных масел и жиров, см. 15.41.1 - производство рыбьего жира и жиров морских млекопитающих, см. 15.41.1|29|Производство растительных рафинированных масел и жиров|206|15.42|205
15.42.2|-|29|Производство растительного воска, кроме триглицеридов|207|15.42|205
15.43|-|29|Производство маргариновой продукции|208|15.4|201
15.43.1|-|29|Производство маргарина|209|15.43|208
15.43.2|Эта группировка включает: - производство столовых масел и пищевых жиров|29|Производство комбинированных жиров|210|15.43|208
15.5|-|29|Производство молочных продуктов|211|15|179
15.51|-|29|Переработка молока и производство сыра|212|15.5|211
15.51.1|-|29|Производство цельномолочной продукции|213|15.51|212
15.51.11|Эта группировка включает: - производство жидкого молока, пастеризованного, стерилизованного, гомогенизированного, а также подвергнутого другой высокотемпературной обработке - производство жидкого молока, обезжиренного и с малым содержанием жиров Эта группировка не включает: - производство сырого коровьего молока и сырого молока прочего крупного рогатого скота, см. 01.21|29|Производство обработанного жидкого молока|214|15.51|212
15.51.12|Эта группировка включает: - производство сметаны - производство сливок, снятых с жидкого сырого молока, пастеризованных, стерилизованных, гомогенизированных - производство сливок свыше шестипроцентной жирности|29|Производство сметаны и жидких сливок|215|15.51|212
15.51.13|Эта группировка включает: - производство кефира, ряженки, йогуртов, пахты и т.п.|29|Производство кисло - молочной продукции|216|15.51|212
15.51.14|-|29|Производство творога и сырково - творожных изделий|217|15.51|212
15.51.2|Эта группировка включает: - производство сухого молока и сливок с сахаром и без сахара - производство сухого обезжиренного молока (СОМ), сухой сыворотки, заменителя цельного молока (ЗЦМ), сухого белкового концентрата (СБК-УФ) и т.п.|29|Производство молока, сливок и других молочных продуктов в твердых формах|218|15.51|212
15.51.3|Эта группировка включает: - производство сливочного масла несоленого и соленого - производство топленого масла|29|Производство коровьего масла|219|15.51|212
15.51.4|-|29|Производство сыра|220|15.51|212
15.51.5|Эта группировка включает: - производство сгущенного молока с сахаром и без сахара - производство сгущенных сливок - производство казеина и лактозы|29|Производство сгущенных молочных продуктов и молочных продуктов, не включенных в другие группировки|221|15.51|212
15.52|Эта группировка включает: - производство сливочного мороженого и других видов мороженого (замороженных десертов и т.п.) Эта группировка не включает: - деятельность кафе - мороженых, см. 55.30|29|Производство мороженого|222|15.5|211
15.6|-|29|Производство продуктов мукомольно - крупяной промышленности, крахмалов и крахмалопродуктов|223|15|179
15.61|-|29|Производство продуктов мукомольно - крупяной промышленности|224|15.6|223
15.61.1|Эта группировка включает: - обработку риса: производство обрушенного, шлифованного, полированного, глазированного, пропаренного риса; производство рисовой муки|29|Производство обработанного риса|225|15.61|224
15.61.2|Эта группировка включает: - производство муки тонкого помола из пшеницы, ржи, овса, кукурузы и других зерновых культур - производство муки тонкого и грубого помола из сушеных бобовых, корнеплодов и клубней, съедобных орехов - производство готовых мучных смесей и теста для выпечки Эта группировка не включает: - производство картофельной муки тонкого и грубого помола, см. 15.31 - влажный помол кукурузы, см. 15.62.2|29|Производство муки из зерновых и растительных культур и готовых мучных смесей и теста для выпечки|226|15.61|224
15.61.3|Эта группировка включает: - производство муки грубого помола, крупы и гранул из пшеницы, ржи, овса, кукурузы и других зерновых культур - производство продуктов для завтрака из зерновых культур|29|Производство крупы, муки грубого помола, гранул и прочих продуктов из зерновых культур|227|15.61|224
15.62|-|29|Производство кукурузного масла, крахмала и крахмалопродуктов|228|15.6|223
15.62.1|Эта группировка включает: - производство кукурузного масла и его фракций без|29|Производство кукурузного масла|229|15.62|228
15.62.2|Эта группировка включает: - производство крахмала из риса, картофеля, кукурузы и т.п. - производство пищевых продуктов из крахмала (хлопьев, гранул, крупки и т.п.) - влажный помол кукурузы - производство глюкозы, глюкозного сиропа, фруктозы, мальтозы и т.п. - производство глютена (клейковины), декстринов и прочих модифицированных крахмалов - производство инулина Эта группировка не включает: - производство лактозы, см. 15.51.5 - производство свекловичного сахара, см. 15.83|29|Производство крахмала и крахмалопродуктов; производство сахаров и сахарных сиропов, не включенных в другие группировки|230|15.62|228
15.7|-|29|Производство готовых кормов для животных|231|15|179
15.71|-|29|Производство готовых кормов и их составляющих для животных, содержащихся на фермах|232|15.7|231
15.71.1|-|29|Производство готовых кормов (смешанных и несмешанных) для животных, содержащихся на фермах|233|15.71|232
15.71.2|Эта группировка не включает: - производство рыбной муки для корма животных, см. 15.20 - производство жмыха из семян масличных культур, см. 15.41.2|29|Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов|234|15.71|232
15.72|-|29|Производство готовых кормов для домашних животных|235|15.7|231
15.8|-|29|Производство прочих пищевых продуктов|236|15|179
15.81|Эта группировка включает: - производство хлеба и хлебобулочных изделий недлительного хранения: свежевыпеченного хлеба, бубликов, булочек и т.п. - производство мучных кондитерских изделий недлительного хранения: пирожных, тортов, пирогов и т.п. Эта группировка не включает: - производство таких мучных изделий, как макароны, лапша и т.п., см. 15.85 - деятельность кафетериев, см. 55.30|29|Производство хлеба и мучных кондитерских изделий недлительного хранения|237|15.8|236
15.82|Эта группировка включает: - производство сухарей, сушек и т.п. - производство печенья, тортов, пирожных и других мучных кондитерских изделий длительного хранения - производство сладких или соленых закусочных продуктов|29|Производство сухих хлебобулочных изделий и мучных кондитерских изделий длительного хранения|238|15.8|236
15.83|Эта группировка включает: - производство свекловичного сахара - сырца - производство сахара из сахарной свеклы и тростникового сахара - сырца, рафинированного сахара и химически чистой сахарозы в твердом виде, инвертного сахара, сахарных сиропов и заменителей сахара - производство свекловичного жома и прочих побочных продуктов сахарного производства Эта группировка не включает: - производство глюкозы, глюкозного сиропа, мальтозы, см. 15.62.2|29|Производство сахара|239|15.8|236
15.84|-|29|Производство какао, шоколада и сахаристых кондитерских изделий|240|15.8|236
15.84.1|Эта группировка включает: - производство какао - порошка, какао - масла, какао - жира и жидкого масла из какао|29|Производство какао|241|15.84|240
15.84.2|Эта группировка включает: - производство шоколада и шоколадных кондитерских изделий - производство других сахаристых кондитерских изделий, включая: - производство жевательной резинки - производство засахаренных фруктов, орехов, цукатов из фруктовой кожуры и корок, а также из других частей растений Эта группировка не включает: - производство сахарозы, см. 15.83|29|Производство шоколада и сахаристых кондитерских изделий|242|15.84|240
15.85|Эта группировка включает: - производство макаронных изделий (макарон, лапши, рожков, вермишели, полуфабрикатов макаронного теста, пельменей и других), вареных и невареных, с начинкой и без начинки - производство кускуса|29|Производство макаронных изделий|243|15.8|236
15.86|Эта группировка включает: - удаление кофеина и обжаривание зерен кофе - производство кофепродуктов: - молотого кофе - растворимого кофе - экстрактов и концентратов кофе - производство заменителей кофе - приготовление смесей чая и мате - фасование и упаковывание чая, включая упаковывание в чайные пакетики Эта группировка также включает: - производство травяных настоев (мяты, вербены, ромашки и т.п.) Эта группировка не включает: - деятельность чайных фабрик, связанную с чайными плантациями, см. 01.13.3 - производство травяных настоев, используемых в качестве лекарственных средств, см. 24.42.1|29|Производство чая и кофе|244|15.8|236
15.87|Эта группировка включает: - производство уксуса и его заменителей - производство специй, соусов и приправ: - майонеза - горчичной муки и горчичного порошка - горчицы и т.п. Эта группировка не включает: - выращивание культур для производства пряностей, см. 01.13.4 - производство поваренной соли, см. 14.40|29|Производство пряностей и приправ|245|15.8|236
15.88|Эта группировка включает: - производство сухих адаптированных смесей, сухих смесей на зерномолочной основе, жидких и пастообразных продуктов, плодоовощных консервов, мясных консервов, используемых для детского питания - производство продуктов, используемых для специальных диет: - низкокалорийных продуктов и продуктов с пониженной калорийностью, применяемых для сохранения соответствующей массы тела - диетических пищевых продуктов специального медицинского назначения - продуктов с пониженным содержанием натрия, в том числе низконатриевых и безнатриевых диетических солей - продуктов без содержания глютена - продуктов для лиц, выполняющих тяжелую физическую работу, особенно для спортсменов - продуктов для диабетиков|29|Производство детского питания и диетических пищевых продуктов|246|15.8|236
15.89|-|29|Производство прочих пищевых продуктов, не включенных в другие группировки|247|15.8|236
15.89.1|Эта группировка включает: - производство супов и бульонов и заготовок для их приготовления в жидком, порошкообразном или твердом виде, включая замороженные супы и суповые брикеты - производство дрожжей и прочих готовых пекарных порошков - производство продукции переработки яиц, в том числе яиц без скорлупы, яичных желтков и белков, яичного порошка и т.п.|29|Производство готовых к употреблению пищевых продуктов и заготовок для их приготовления, не включенных в другие группировки|248|15.89|247
15.89.2|-|29|Производство растительных соков и экстрактов, пептических веществ, растительных клеев и загустителей|249|15.89|247
15.89.3|-|29|Производство пищевых ферментов|250|15.89|247
15.9|-|29|Производство напитков|251|15|179
15.91|Эта группировка включает: - производство дистиллированных алкогольных напитков: водки, виски, бренди, джина, ликеров и т.п. Эта группировка не включает: - производство недистиллированных алкогольных напитков, см. 15.92, 15.93, 15.94|29|Производство дистиллированных алкогольных напитков|252|15.9|251
15.92|Эта группировка включает: - производство этилового спирта из сброженных материалов - производство пищевого спирта - производство денатурированного спирта (денатурата) из отходов пищевого спирта Эта группировка не включает: - производство синтетического этилового спирта и гидролизного этилового спирта, см. 24.14.1|29|Производство этилового спирта из сброженных материалов|253|15.9|251
15.93|Эта группировка включает: - производство виноградных вин: - столовых вин - ординарных и марочных вин - игристых вин - шипучих вин Эта группировка не включает: - производство вина из винограда, выращенного данным хозяйством, см. 01.13.1 - розлив вина по бутылкам и упаковывание без переработки вина, см. 51.34.21, 74.82|29|Производство виноградного вина|254|15.9|251
15.94|-|29|Производство сидра и прочих плодово - ягодных вин|255|15.9|251
15.95|Эта группировка включает: - производство вермута и прочих ароматизированных натуральных виноградных вин|29|Производство прочих недистиллированных напитков из сброженных материалов|256|15.9|251
15.96|Эта группировка включает: - производство пива, в том числе безалкогольного пива|29|Производство пива|257|15.9|251
15.97|-|29|Производство солода|258|15.9|251
15.98|-|29|Производство минеральных вод и других безалкогольных напитков|259|15.9|251
15.98.1|Эта группировка включает: - розлив природных минеральных вод по бутылкам из источников и скважин - производство искусственных минеральных вод|29|Производство минеральных вод|260|15.98|259
15.98.2|Эта группировка включает: - производство безалкогольных напитков, кроме минеральных вод, ароматизированных и / или с добавками сахара: лимонада, оранжада, колы, фруктовых напитков, тоника и т.п. Эта группировка не включает: - производство фруктовых и овощных соков, см. 15.32|29|Производство безалкогольных напитков, кроме минеральных вод|261|15.98|259
16|-||Производство табачных изделий|262|РАЗДЕЛ Q|1874
16.0|-|29|Производство табачных изделий|263|16|262
16.00|Эта группировка включает: - производство табачно - махорочных изделий: сигарет и сигар, папирос, сигаретного табака, трубочного табака, жевательного табака, нюхательного табака, курительной и нюхательной махорки - производство "гомогенизированного" или "восстановленного" табака Эта группировка не включает: - выращивание и первичную обработку табака и махорки, см. 01.11.4|29|Производство табачных изделий|264|16.0|263
Подраздел DB|-||ТЕКСТИЛЬНОЕ И ШВЕЙНОЕ ПРОИЗВОДСТВО|265|РАЗДЕЛ D|177
17|-||Текстильное производство|266|РАЗДЕЛ Q|1874
17.1|-||Прядение текстильных волокон|267|17|266
17.11|Эта группировка включает: - операции по подготовке волокон хлопчатобумажного типа: кардочесание и гребнечесание - производство пряжи хлопчатобумажного типа из хлопка или искусственных и синтетических волокон для ткацкого, трикотажного и других производств Эта группировка не включает: - производство швейных ниток, см. 17.16||Прядение хлопчатобумажных волокон|268|17.1|267
17.12|Эта группировка включает: - операции по подготовке волокон шерстяного типа: обезжиривание и карбонизацию шерсти, кардочесание - производство пряжи шерстяного типа из шерстяных или искусственных и синтетических волокон для ткацкого, трикотажного и других производств||Кардное прядение шерстяных волокон|269|17.1|267
17.13|Эта группировка включает: - операции по подготовке волокон шерстяного типа: обезжиривание и карбонизацию шерсти, гребенное (камвольное) чесание волокон - производство камвольной пряжи из шерстяных или искусственных и синтетических волокон для ткацкого, трикотажного и других производств - подготовку и прядение полукамвольной шерсти (кардочесаной, но не полностью гребнечесаной)||Гребенное прядение шерстяных волокон|270|17.1|267
17.14|Эта группировка включает: - трепание льна - производство пряжи льняного типа из льняных волокон или искусственных и синтетических волокон для ткацкого, трикотажного и других производств||Прядение льняных волокон|271|17.1|267
17.15|Эта группировка включает: - кокономотание, промывку и кручение шелковых нитей - кардочесание и гребнечесание отходов шелка - производство пряжи шелкового типа из шелковых, искусственных или синтетических волокон для ткацкого, трикотажного и других производств - текстурирование, кручение, складывание в несколько слоев, скручивание нескольких нитей в одну, смачивание синтетических или искусственных комплексных нитей||Изготовление натуральных шелковых, искусственных и синтетических волокон|272|17.1|267
17.16|Эта группировка включает: - производство швейных ниток из любых текстильных волокон, включая смешанные Эта группировка не включает: - производство пряжи для производства трикотажного полотна, см. 17.11 - 17.15, 17.17||Производство швейных ниток|273|17.1|267
17.17|Эта группировка включает: - операции по подготовке и прядению прочих текстильных волокон (джутового волокна и других лубяных волокон) Эта группировка также включает: - производство бумажной пряжи Эта группировка не включает: - производство синтетических или искусственных волокон и жгутов, производство пряжи, в том числе высокопрочной пряжи и пряжи для изготовления ковров, из синтетических или искусственных волокон, см. 24.70 - производство стекловолокна, см. 26.14 - производство асбестовой пряжи, см. 26.82.1||Подготовка и прядение прочих текстильных волокон|274|17.1|267
17.2|-||Ткацкое производство|275|17|266
17.21|Эта группировка включает: - производство широких тканей хлопчатобумажного типа из хлопка или из искусственной или синтетической пряжи Эта группировка также включает: - производство ворсовых тканей (бархата, плюша и т.п.), махровых тканей, марли и т.п. Эта группировка не включает: - производство текстильных напольных покрытий, см. 17.51 - производство нетканых материалов, см. 17.53 - производство узких тканей, см. 17.54.1 - производство трикотажного полотна, см. 17.6||Производство хлопчатобумажных тканей|276|17.2|275
17.22|Эта группировка включает: - производство широких тканей шерстяного типа из шерстяной, искусственной или синтетической пряжи Эта группировка не включает: - производство текстильных напольных покрытий, см. 17.51 - производство нетканых материалов, см. 17.53 - производство трикотажного полотна, см. 17.60||Производство шерстяных тканей из волокон кардного прядения|277|17.2|275
17.23|Эта группировка включает: - производство широких тканей шерстяного типа из шерстяной, искусственной или синтетической пряжи Эта группировка не включает: - производство текстильных напольных покрытий, см. 17.51 - производство нетканых материалов, см. 17.53 - производство трикотажного полотна, см. 17.60||Производство шерстяных тканей из волокон гребенного прядения|278|17.2|275
17.24|Эта группировка включает: - производство широких тканей шелкового типа из шелковой, искусственной или синтетической пряжи Эта группировка не включает: - производство нетканых материалов, см. 17.53||Производство шелковых тканей|279|17.2|275
17.25|Эта группировка включает: - производство прочих широких тканей из пряжи, изготовленной из волокон льна, конопли и прочих лубяных волокон - производство тканей из полипропиленовых волокон Эта группировка также включает: - производство тканей из стекловолокна Эта группировка не включает: - производство текстильных напольных покрытий, см. 17.51 - производство нетканых материалов, см. 17.53 - производство тканей из асбестовой пряжи, см. 26.82.1|27|Производство прочих текстильных тканей|280|17.2|275
17.3|-||Отделка тканей и текстильных изделий|281|17|266
17.30|Эта группировка включает: - предоставление услуг по крашению волокон и пряжи - отбеливание, крашение, набивку, в том числе термонабивку, тканей несобственного производства и текстильных изделий - аппретирование, сушку, обработку паром, декатировку, противоусадочную отделку (санфоризацию), мерсеризацию тканей и текстильных изделий несобственного производства Эта группировка не включает: - отделку текстильных изделий из тканей собственного производства, см. 17.1, 17.2, 17.5||Отделка тканей и текстильных изделий|282|17.3|281
17.4|-||Производство готовых текстильных изделий, кроме одежды|283|17|266
17.40|Эта группировка включает: - производство готовых изделий из любого текстильного материала, в том числе из трикотажного полотна: - одеял, в том числе дорожных пледов - постельного и столового белья - ватных и пуховых стеганых одеял, подушек, в том числе диванных подушек, пуфов, спальных мешков и т.п. - производство готовых изделий хозяйственно - бытового и другого назначения, кроме специального назначения: - гардин, портьер, штор, постельных покрывал, чехлов для мебели и машин и т.п. - брезентов, тентов, снаряжения для кемпингов, парусов, маркиз (солнцезащитных жалюзи), чехлов для автомобилей и т.п. - флагов, знамен, вымпелов - тряпок для удаления пыли, мочалок и аналогичных изделий - бронежилетов, спасательных жилетов, парашютов и т.п. Эта группировка также включает: - производство текстильных частей электроодеял Эта группировка не включает: - производство текстильных изделий технического назначения, см. 17.54.2, 17.54.3||Производство готовых текстильных изделий, кроме одежды|284|17.4|283
