name,meaning,gender,origin
Daeva,myth name (an evil spirit),F,Indian
Daffodil,flower,F,Greek
Dafydd,Variant of David. Beloved of God.,M,Wales
Dagan,Grain,M,Hebrew
Daganya,Ceremonial grain,F,Hebrew
Daganyah,Ceremonial grain,F,Hebrew
Dagen,Black-haired.,M,Irish
Daghda,meaning unknown,F,Celtic
Dagian,Dawn,F,English
Dagmar,Glorious day,F,German
Dagmar,glory of the Danes,F,Danish
Dagoberto,Glorious day,M,German
Dagomar,Glorious day,F,German
Dagonet,Arthur's fool,M,Arthurian Legend
Daguenet,Arthur's fool,M,Arthurian
Daguenet,Arthur's fool,M,Arthurian Legend
Dagwood,From the bright one's forest,M,English
Dahab,gold,F,Arabic
Dahlia,Valley,F,Scandinavian
Dahr,time, age,M,Arabian
Dahwar,to throw down,M,Arabian
Dahy,Quick and agile,M,Irish
Dai,great,F,Japanese
Dai,large; generation.,M,Japanese
Daiana,Just create.,F,Dominican Republic
Daibheid,Dearly loved,M,Irish
Daibhidh,beloved,M,Gaelic
Daijon,Gods gift of hope.,M,American
Daileass,From the waterfall,M,Scottish
Dailyn,,F,Unknown
Daimh,Ox,M,Scottish
Daimhin,Bard,M,Irish
Daimmen,A saint that took care of children.,M,French
Dain,Variant of Dane from Denmark.,M,English
Daina,From Denmark. Also a variant of Daniel.,F,English
Dainan,Kind hearted.,M,Australian
Daine,Surnames meaning from Denmark.,M,French
Daine,Variant of Dane from Denmark.,M,English
Daire,Wealthy,M,Irish
Dairion,Unknown,M,Unknown
Daisey,Day's eye. A flower name.,F,English
Daishya,,M,Unknown
Daisi,Daisy,F,French
Daisi,Day's eye. A flower name.,F,English
Daisie,Day's eye. A flower name.,F,English
Daisy,&quot;The day's eye.&quot;,F,Anglo
Daisy,day's eve,F,English
Daisy,Day's eye. A flower name.,F,English
Daisy,The day's eye,F,Anglo-Saxon
Daithi,Beloved or quick and agile,M,Irish
Daivini,Variant of David.,F,Unknown
Daizy,Day's eye. A flower name.,F,English
Dakarai,happy,M,Egyptian
Dakini,myth name (a demon),F,Indian
Dakota,Friend: ally. Tribal name.,M,Native American
Dakotah,Friend: ally. Tribal name.,M,Native American
Dakshina,competent,F,Indian
Dal,Variant of Dallin blind.,M,Irish
Dalal,treated or touched in a kind and loving way,F,Arabic
Dalan,Variant of Dallin blind.,M,Irish
Dalbert,proud,M,English
Dale,lives in the valley,F,English
Dale,lives in the valley,M,English
Dale,Lives in the valley.Small valley.,F,English
Daleel,guide,M,Arabian
Dalen,Rhyming variant of Waylon - a historical blacksmith with supernatural powers.,M,English
Dalena,Small valley. Abbreviation of Madeline.,F,English
Dalene,Small valley.,F,English
Dalenna,Small valley. Abbreviation of Madeline.,F,English
Daley,Lives in the valley,M,English
Dalia,Gentle.,F,Arabic
Daliah,Tree branch,F,Hebrew
Dalila,Delicate,F,Spanish
Dalila,Desired or Languishing. The Biblical Delilah tempted Samson into revealing the secret of his superhuman strength.,F,Hebrew
Dalila,gentle,F,Egyptian
Dalila,Swahili name meaning &quot;gentle.&quot;,F,African
Dalis,Drawing water,F,Hebrew
Dalit,Drawing water,F,Hebrew
Daliyah,Tree branch,F,Hebrew
Dall,wise,M,Gaelic
Dallan,Blind,M,Irish
Dallas,Dwells by the waterfall,M,Celtic
Dallas,From the dales: the valley meadows. Name of a Texas city.,F,Scottish
Dallas,From the waterfall,M,Scottish
Dallen,Variant of Dallin blind.,M,Irish
Dallin,Blind. A saint's name.,M,Irish
Dallis,From the dales: the valley meadows.,F,Scottish
Dallon,Variant of Dallin blind.,M,Irish
Dalmar,Somali name meaning &quot;versatile.&quot;,M,African
Dalon,Variant of Dallin blind.,M,Irish
Dalston,from Dougal's place,M,Anglo
Dalston,From Dougal's place,M,Anglo-Saxon
Dalton,From the farm in the dale,M,English
Daly,counselor,M,Gaelic
Daly,Small valley.,F,English
Dalyell,From the little field,M,Scottish
Dalyn,Rhyming variant of Waylon - a historical blacksmith with supernatural powers.,M,English
Dalynn,,F,Unknown
Dalziel,From the little field,M,Scottish
Daman,Demon,M,Celtic
Daman,Tame,M,Irish
Damani,,M,Unknown
Damara,Gentle girl.,F,Greek
Damario,Masculine form of the Greek Damaris gentle.,M,Spanish
Damaris,gentle,F,Greek
Damaris,Gentle,M,Greek
Damaskenos,from Damascus,M,Greek
Damayanti,name of a princess,F,Indian
Damek,earth,M,Slavic
Damek,of the earth,M,Czechoslovakian
Dameon,,M,Unknown
Damerae,A boy of joy,M,Jamaican
Damh,Ox,M,Scottish
Damhnait,The name of a saint bard,F,Irish
Damia,myth name,F,Greek
Damia,Untamed,F,French
Damian,Tame,M,Greek
Damian,Tame,M,Spanish
Damiana,Untamed,F,French
Damiane,Untamed,F,French
Damiean,Calm and tame.,M,English
Damien,untamed,F,French
Damien,Variant of Damon one who tames: subdues. The Belgian priest Father Damien gave his life helping the Hawaiian lepers of Molokai. 3rd Century St. Damian is patron of physicians.,M,French
Damis,dark,M,Arabian
Damita,Little noble,F,Spanish
Dammar,destructive one,M,Arabian
Damocles,myth name (a tyrant of Syracuse),M,Greek
Damon,loyal friend DANAUS,M,Latin
Damon,Tame,M,Irish
Dan,God is my judge,M,Romanian
Dan,God will judge,M,Hebrew
Dana,A Dane,F,Irish
Dana,From Denmark,F,Celtic
Dana,from Denmark,F,Danish
Dana,from Denmark,F,Romanian
Dana,From Denmark. Also a variant of Daniel.,F,English
Dana,myth name DARDA,F,Scandinavian
Dana,Variant of Daniel or Dane.,M,English
Danae,God is my judge,F,Hebrew
Danae,myth name (mother of Perseus),F,Greek
Danah,From Denmark. Also a variant of Daniel.,F,English
Danathon,,M,Unknown
Danaus,myth name (father of the Danaides),M,Greek
Danawi,worldly,M,Arabian
Dane,from Denmark,M,Danish
Dane,From Denmark.,M,English
Dane,God will judge,M,Hebrew
Danel,Basque form of Daniel (judge),M,Basque
Danel,God will judge,M,Hebrew
Danele,feminine form of Danel (judge),F,Basque
Danele,God is my judge,F,Hebrew
Danell,Variant of Daniel God is my judge.,M,Hebrew
Danelle,Feminine variant of Daniel God will judge.,F,English
Danelle,God is my judge,F,Hebrew
Danetta,God is my judge,F,Hebrew
Danette,Feminine variant of Daniel God will judge.,F,English
Danette,God is my judge,F,Hebrew
Daney,From Denmark. Also a variant of Daniel.,F,English
Dangelo,Angel Messenger,M,Italian
Danh,fame, prestige,M,Vietnamese
Dani,Feminine of Daniel God will judge.,F,Spanish
Dani,God will judge,M,Hebrew
Dania,From Denmark. Also a feminine variant of Daniel God will judge.,F,English
Dania,God is my judge,F,Hebrew
Daniachew,Amharic of Ethopia name meaning &quot;you be their judge, arbitrate between them.&quot;,M,African
Danica,morning star,F,Slavic
Danica,Morning Star.,F,Slavic
Danice,Feminine variant of Daniel God will judge.,F,English
Daniel,God is my Judge. The biblical prophet and writer of Book of Daniel was a teenager when taken to Babylon after the destruction of Jerusalem in 607 BC. He survived two death sentences: (a lions' den and a fiery furnace.): Frontiersman Daniel Boone.,M,Hebrew
Daniela,God is my judge,F,Hebrew
Daniela,God is my judge,F,Romanian
Daniele,God will judge,M,Hebrew
Daniele,Italian form of Daniel (God is my judge),M,Italian
Danielle,God is my judge,F,Hebrew
Daniel-Sean,The Lord alone is my judge.,M,Unknown
Danika,,F,Unknown
Danil,God will judge,M,Hebrew
Danila,God is my judge,F,Hebrew
Danila,God will judge,M,Hebrew
Danilo,Variant of Daniel God is my judge.,M,Spanish
Danise,Feminine variant of Daniel God will judge.,F,English
Danit,God is my judge,F,Hebrew
Danita,Feminine variant of Daniel God will judge.,F,English
Danita,God is my judge,F,Hebrew
Danita,God judges,F,Spanish
Danithy,Unknown,F,Unknown
Danitza,Feminine variant of Daniel God will judge.,F,English
Danja,,F,Unknown
Dann,Judge. Biblical fifth son of Jacob and founder of one of the twelve tribes of Israel. An independent name and also an abbreviation of Daniel.,M,Hebrew
Danna,Feminine variant of Daniel God will judge.,F,English
Dannah,A Biblical place name: variant of Daniel God will judge.,F,English
Dannalee,Feminine variant of Daniel God will judge.,F,English
Dannee,Feminine variant of Daniel God will judge.,F,English
Dannell,Feminine variant of Daniel God will judge.,F,English
Dannelle,Feminine variant of Daniel God will judge.,F,English
Danni,Feminine variant of Daniel God will judge.,F,English
Dannia,Feminine variant of Daniel God will judge.,F,English
Dannie,Variant of Daniel God is my judge.,M,Hebrew
Danno,field gathering; also a surname,M,Japanese
Dannon,Feminine variant of Daniel God will judge.,F,English
Danny,God will judge,M,Hebrew
Danon,Variant of Dane from Denmark.,M,English
Danrelle,Hidden.,F,English
Danso,Ashanti of Ghana name meaning &quot;reliable.&quot;,M,African
Dantae,Enduring. The poet Dante Alighieri wrote The Divine Comedy with its graphic description of medieval Hell known as Dante's Inferno.,M,Spanish
Dante,Enduring. The poet Dante Alighieri wrote The Divine Comedy with its graphic description of medieval Hell known as Dante's Inferno.,M,Spanish
Dante,lasting,M,Italian
Dantel,Enduring. The poet Dante Alighieri wrote The Divine Comedy with its graphic description of medieval Hell known as Dante's Inferno.,M,Spanish
Dantina,Feminine variant of Daniel God will judge.,F,English
Danton,Variant of Anthony.,M,French
D'anton,Variant of Anthony.,M,French
Dantrell,Variant of Daniel God is my judge.,M,Hebrew
Danu,meaning unknown,F,Indian
Dany,Feminine variant of Daniel God will judge.,F,English
Danya,Feminine variant of Daniel God will judge.,F,English
Danya,God is my judge,F,Hebrew
Danylynn,Variations of Daryl meaning Dearly loved.,F,English
Dao,peach blossom; a Tet flower,F,Vietnamese
Dao,religions,M,Vietnamese
Daoud,David,M,Arabian
Daphna,Victory,F,Hebrew
Daphnah,Victory,F,Hebrew
Daphne,bay tree,F,Greek
Daphne,Victory,F,Hebrew
Daphnis,myth name (blinded for his infidelity),M,Greek
Dar,Pearl,M,Hebrew
Dara,Wise. Dara was a biblical descendant of Judah known for his wisdom.,F,Hebrew
Darach,Oak,M,Scottish
Daracha,From the oak,F,Scottish
Darah,Wise. Dara was a biblical descendant of Judah known for his wisdom.,F,Hebrew
Dar-Al-Baida,the white house,M,Arabian
Daran,Great.,M,English
Darby,Free,M,Irish
Darby,free man,M,Gaelic
Darby,Without envy.,M,English
Darcel,Dark.,F,French
Darcel,Dark.,F,Irish
Darcel,Dark. Variant of Darcy or D'Arcy.,M,French
Darcell,Dark.,F,French
Darcell,Dark.,F,Irish
Darcell,Dark. Variant of Darcy or D'Arcy.,M,French
Darcelle,Dark.,F,French
Darcelle,Dark.,F,Irish
Darcey,Dark.,F,French
Darcey,Dark.,F,Irish
Darchelle,Dark.,F,French
Darchelle,Dark.,F,Irish
Darci,Dark.,F,French
Darci,Dark.,F,Irish
Darcia,Dark.,F,French
Darcia,Dark.,F,Irish
Darcie,Dark.,F,French
Darcie,Dark.,F,Irish
Darcio,Dark. Variant of Darcy or D'Arcy.,M,French
Darcy,Dark,M,Celtic
Darcy,Dark.,F,Irish
Darcy,from Arcy,F,French
Darcy,from Arcy,M,French
Darcy,From Arcy Dark.,F,French
D'arcy,Dark.,F,French
D'arcy,Dark.,F,Irish
D'arcy,Dark. Variant of Darcy or D'Arcy.,M,French
D'arcy,From Arcy,F,French
D'arcy,From Arcy,M,French
Darda,dart,F,Hungarian
Dardanus,myth name (founder of Troy),M,Greek
Dareau,Variant of Darrel open.,M,French
Dareen,Wise. Dara was a biblical descendant of Judah known for his wisdom.Note: This Database is Copyright Dogwood Technical Services Inc. 1995.,F,Hebrew
Darek,Gifted ruler. From Theodoric.,M,English
Darek,Gifted ruler. From Theodoric.,M,German
Darel,see Darlene.,F,Anglo
Darel,Tenderly loved,F,Anglo-Saxon
Darel,Variant of Darrell open.,M,English
Darelene,see Darlene.,F,Anglo
Darelene,Tenderly loved,F,Anglo-Saxon
Darelle,see Darlene.,F,Anglo
Darelle,Tenderly loved,F,Anglo-Saxon
Dar-El-Salam,the house of greeting,M,Arabian
Daren,Great.,M,English
Daren,Hausa of West Africa name meaning &quot;born at night.&quot;,M,African
Darena,Famous and Loved,F,American
Darence,Blend of Darell and Clarence.,M,English
Darerca,Name of a saint,F,Irish
Daria,Rich,F,Spanish
Daric,Strong: oak-hearted. See also Derek.,M,Irish
Darice,Wise. Dara was a biblical descendant of Judah known for his wisdom.,F,Hebrew
Darick,Strong: oak-hearted. See also Derek.,M,Irish
Dariel,Variant of Darrel open.,M,English
Dariel,Variant of Darrel open.,M,French
Dariell,Variant of Darrel open.,M,English
Dariell,Variant of Darrel open.,M,French
Darien,Gift. Variant of Darin.,M,Greek
Darin,Great.,M,English
Dario,Rich,M,Spanish
Darissa,Wise. Dara was a biblical descendant of Judah known for his wisdom.,F,Hebrew
Darius,name of a pharaoh,M,Egyptian
Darla,From the Old English dearling: darling.,F,English
Darleane,From the Old English dearling: darling.,F,English
Darleen,From the Old English dearling: darling.,F,English
Darleena,From the Old English dearling: darling.,F,English
Darlena,From the Old English dearling: darling.,F,English
Darlene,&quot;Tenderly loved.&quot; Some variants include Darel, Darelene, Darelle, Darline, and Daryl.,F,Anglo
Darlene,From the Old English dearling: darling.,F,English
Darlene,Tenderly loved,F,Anglo-Saxon
Darlina,From the Old English dearling: darling.,F,English
Darline,From the Old English dearling: darling.,F,English
Darline,see Darlene.,F,Anglo
Darline,Tenderly loved,F,Anglo-Saxon
Darnall,From Darnall,M,English
Darneil,Hidden.,M,English
Darnel,Hidden.,M,English
Darnell,from Darnall,M,English
Darnell,From Darnall Hidden.,M,English
Darnell,Hidden.,F,English
Darnesha,,F,African American
Darnetta,Hidden.,F,English
Darnisha,Hidden.,F,English
Darold,Blend of Daryl and Harold or Gerald.,M,English
Darolyn,Variations of Daryl meaning Dearly loved.,F,English
Daron,Great.,M,English
Darra,Wise. Dara was a biblical descendant of Judah known for his wisdom.,F,Hebrew
Darragh,Wealthy,M,Irish
Darrah,Wise. Dara was a biblical descendant of Judah known for his wisdom.,F,Hebrew
Darrance,Blend of Darell and Clarence.,M,English
Darrel,Variant of Darrell.,M,English
Darrell,Dearly loved,M,English
Darrell,Open. Dates back to the eleventh century as both surname and given name.,M,French
Darrellyn,Variations of Daryl meaning Dearly loved.,F,English
Darren,great,M,Gaelic
Darren,Great. See also Darin.,M,English
Darrence,Blend of Darell and Clarence.,M,English
Darrick,Strong: oak-hearted. See also Derek.,M,Irish
Darrill,Variations of Daryl meaning Dearly loved.,F,English
Darrin,Great.,M,English
Darrius,He who upholds the good.,M,Greek
Darroch,Strong: oak-hearted. See also Derek.,M,Irish
Darrock,Strong: oak-hearted. See also Derek.,M,Irish
Darrold,Blend of Daryl and Harold or Gerald.,M,English
Darroll,Variant of Darrel open.,M,English
Darroll,Variant of Darrel open.,M,French
Darron,Great.,M,English
Darry,dark,M,Gaelic
Darry,Wealthy,M,Irish
Darryl,Variant of Darrell.,M,English
Darryll,Variant of Darrell.,M,English
Darryll,Variations of Daryl meaning Dearly loved.,F,English
Darryn,Great.,M,English
Dartagnan,The Three Musketeers by Dumas was based on the real D'artagnan's memoirs.,M,French
Darton,From the deer park,M,English
Darvell,Town of eagles.,M,English
Darvell,Town of eagles.,M,French
Darvin,Blend of Daryl and Marvin.,M,English
Darwin,Dear friend. Nineteenth-century naturalist Charles Darwin was the first major exponent of human evolution.,M,English
Darwish,musical troupe,M,Arabian
Darwishi,saint,M,Egyptian
Darwyn,Dear friend. Nineteenth-century naturalist Charles Darwin was the first major exponent of human evolution.,M,English
Dary,Wealthy,M,Irish
Daryl,Dearly loved. The name Daryl for girls was made popular by actress Daryl Hannah.,F,English
Daryl,Dearly loved: Variant of Darrell.,M,English
Daryl,loved dearly,F,English
Daryl,see Darlene.,F,Anglo
Daryl,Tenderly loved,F,Anglo-Saxon
Daryle,Variant of Darrell.,M,English
Darylene,Variations of Daryl meaning Dearly loved.,F,English
Daryll,Variant of Darrell.,M,English
Daryll,Variations of Daryl meaning Dearly loved.,F,English
Darylyn,Variations of Daryl meaning Dearly loved.,F,English
Dassais,intrigue,M,Arabian
Dassous,spy,M,Arabian
Dat,accomplished, to attain, to achieve,M,Vietnamese
Da'ud,Arabic form of David (beloved),M,Arabic
Daudi, Daudy,Swahili name meaning &quot;beloved.&quot;,M,African
Daunte,Enduring. The poet Dante Alighieri wrote The Divine Comedy with its graphic description of medieval Hell known as Dante's Inferno.,M,Spanish
Dave,David's son,M,Scottish
Dave,Variant of David beloved.,M,Hebrew
Daveen,Beloved. Feminine of David.,F,English
Daveney,Name of a town and castle in Flanders. Also a rhyming variant of Daphne.,F,French
Daveon,Variant of David beloved.,M,English
Davet,Beloved,M,French
Davey,Dearly loved,M,Hebrew
Davey,Variant of David beloved.,M,Irish
Davi,Cherished,F,Hebrew
Davi,Dearly loved,M,Hebrew
Davia,Beloved. Feminine of David.,F,English
Davian,Variant of David beloved.,M,English
Daviana,Divine,F,Unknown
Davianna,Beloved. Feminine of David.,F,English
David,dearly loved,M,Hebrew
Davida,Beloved. Feminine of David.,F,English
Davida,Cherished,F,Hebrew
Davide,Italian form of David (beloved),M,Italian
Davidson,David's son,M,Scottish
Davidson,Surname. Variant of David beloved.,M,English
Davidsone,David's son,M,English
Davie,Variant of David beloved.,M,Irish
Daviel,Variant of David beloved.,M,English
Davin,Dearly loved,M,Hebrew
Davin,Variant of David beloved.,M,French
Davina,Beloved. Feminine of David.,F,English
Davina,Cherished,F,Hebrew
Davinah,Cherished,F,Hebrew
Davine,Beloved. Feminine of David.,F,English
Davinia,Beloved. Feminine of David.,F,English
Davinia,Cherished,F,Hebrew
Davion,Variant of David beloved.,M,English
Daviot,Variant of David beloved.,M,English
Davis,David's son,M,English
Davis,David's son,M,Scottish
Davison,Surname. Variant of David beloved.,M,English
Davita,Beloved. Feminine of David.,F,English
Davitah,Cherished,F,Hebrew
Davite,Cherished,F,Hebrew
Davonna,Beloved. Feminine of David.,F,English
Davy,Beloved. Feminine of David.,F,English
Davy,Variant of David beloved.,M,English
Davynn,Beloved. Feminine of David.,F,English
Dawar,wonderer,M,Arabian
Dawayne,Dark.,M,Irish
Dawit,Ethiopian name referring to the biblical David, meaning &quot;beloved.&quot;,M,African
Dawn,&quot;Awakening.&quot;,F,Anglo
Dawn,Awakening,F,Anglo-Saxon
Dawn,dawn,F,English
Dawn,The first appearance of daylight: daybreak. Dawn.,F,English
Dawna,The first appearance of daylight: daybreak.,F,English
Dawne,The first appearance of daylight: daybreak.,F,English
Dawnelle,The first appearance of daylight: daybreak.,F,English
Dawneshia,Combination of Kyeshia (Great joy) and Dawn (Awakening).,F,Unknown
Dawnetta,The first appearance of daylight: daybreak.,F,English
Dawnette,The first appearance of daylight: daybreak.,F,English
Dawnielle,The first appearance of daylight: daybreak.,F,English
Dawnika,The first appearance of daylight: daybreak.,F,English
Dawson,Surname. Variant of David beloved.,M,English
Dawud,Arabic form of David,M,Arabic
Dax,A town in southwestern France dating from before the Roman occupation.,M,French
Daxton,Reference to the French town Dax.,M,English
Dayla,To draw water.,F,Hebrew
Daylan,Rhyming variant of Waylon - a historical blacksmith with supernatural powers.,M,English
Dayle,Lives in the valley,M,English
Dayle,Lives in the valley. Small valley.,F,English
Daylen,Rhyming variant of Waylon - a historical blacksmith with supernatural powers.,M,English
Daylin,Rhyming variant of Waylon - a historical blacksmith with supernatural powers.,M,English
Daylon,Rhyming variant of Waylon - a historical blacksmith with supernatural powers.,M,English
Dayna,From Denmark. Also a variant of Daniel.,F,English
Dayne,From Denmark. Also a variant of Daniel.,F,English
Dayne,Surnames meaning from Denmark.,M,English
Dayne,Surnames meaning from Denmark.,M,French
Dayner,Variant of Dane from Denmark.,M,English
Daysha,Gift from God.,F,Unknown
Dayshia,,F,Unknown
Daysi,Day's eye. A flower name.,F,English
Dayson,Surname. Variant of David beloved.,M,English
Dayton,Surname. Variant of David beloved.,M,English
Dayveon,"Dear one. Alternate Spelling: Davian, Davion.",M,Unknown
De,royalty,M,Vietnamese
Deacon,Dusty one: servant.,M,English
Deagan,Combination of Eagan and Dean.,M,Unknown
Deaglan,Name of a saint,M,Irish
Deagmund,Bridge protector,M,English
Deakin,Dusty one: servant.,M,English
Dealbeorht,Proud,M,English
Dealbert,Proud,M,English
Dean,from the dene,M,English
Deana,From the valley. Variant of Diana meaning divine.,F,English
Deanda,Blend of Deanne: (divine) plus variants of Andrea: (masculine) and Sandra: (protector of man.),F,English
Deandra,Blend of Deanne: (divine) plus variants of Andrea: (masculine) and Sandra: (protector of man.),F,English
Deandrea,Blend of Deanne: (divine) plus variants of Andrea: (masculine) and Sandra: (protector of man.),F,English
Deandria,Blend of Deanne: (divine) plus variants of Andrea: (masculine) and Sandra: (protector of man.),F,English
Deane,From the valley. Variant of Diana meaning divine.,F,English
Deane,Variant of dean from the valley.,M,English
Deann,Variant of Diana meaning divine.,F,English
Deanna,From the valley Variant of Diana meaning divine.,F,English
Deanne,From the dene,M,English
Deanne,Variant of Diana meaning divine.,F,English
Dearbhail,True desire,F,Irish
Dearborn,from the deer brook,M,English
Dearbourne,From the deer brook,M,English
Dearg,Red,M,Scottish
Dearg,Red haired,M,German
Dearg,Son of Daghda,M,Celtic
Deasach,southerner,M,Gaelic
Deavon,Variant of the English county name Devon.,M,English
Debbee,Variant of Deborah.,F,Unknown
Debbie,Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.,F,Hebrew
Debby,Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.,F,Hebrew
Debora,bee,F,Hebrew
Deborah,Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.,F,Hebrew
Debra,Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.,F,Hebrew
Debrah,Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.,F,Hebrew
Debralee,Bee. Deborah was the Biblical prophetess who summoned Barak to battle against an army of invaders. After the battle she wrote a victory song which is part of the Book of Judges.,F,Hebrew
Dechtire,meaning unknown,F,Arthurian
Dechtire,myth name (a nursemaid),F,Celtic
Dechtire,Mythical nursemaid,F,Celtic
Decla,Feminine form of Declan the name of a saint,F,Irish
Declan,The name of an Irish saint.,M,Irish
Dedre,Sorrowful,F,Irish
Dedric,Gifted ruler. Variant of Diederick.,M,German
Dedrick,Gifted ruler. Variant of Diederick.,M,English
Dedrick,People's ruler,M,German
Dedrik,People's ruler,M,German
Dee,Abbreviation of names beginning with the letter D.,F,English
Deeana,Variant of Diana meaning divine.,F,English
Deeandra,Blend of Deanne: (divine) plus variants of Andrea: (masculine) and Sandra: (protector of man.),F,English
Deeann,Variant of Diana meaning divine.,F,English
Deeanna,Variant of Diana meaning divine.,F,English
Deedra,Melancholy. A variant of the older name Deirdre In Celtic legend Deirdre died of a broken heart.,F,Irish
Deegan,Black-haired.,M,Irish
Deems,Judge's son,M,English
Deen,God will judge,M,Hebrew
Deena,Variant of Diana meaning divine.,F,English
Deerward,Guardian of the deer,M,English
Defena,From Devonshire,F,English
Dehaan,cock,M,Dutch
Deheune,Divine one,F,Celtic
Deianira,myth name (wife of Hercules),F,Greek
Deidra,Melancholy. A variant of the older name Deirdre In Celtic legend Deirdre died of a broken heart.,F,Irish
Deidre,Melancholy. A variant of the older name Deirdre In Celtic legend Deirdre died of a broken heart.,F,Irish
Deiene,Religious holiday,F,Spanish
Deikun,Religious holiday,F,Spanish
Deina,Religious holiday,F,Spanish
Deiphobus,myth name (a son of Priam),M,Greek
Deirdra,Melancholy. A variant of the older name Deirdre In Celtic legend Deirdre died of a broken heart.,F,Irish
Deirdre,ragin,F,Gaelic
Deirdre,sorrowful,F,Celtic
Deja,To have been here before,F,Uk
Deka,Somali name meaning &quot;one who pleases.&quot;,F,African
Deke,Dusty one: servant.,M,English
Dekel,Dusty one: servant.,M,English
Dekle,Dusty one: servant.,M,English
Del,Surname prefix meaning of the. Also used as an independent name and an abbreviation of names beginning with Del-.,M,French
Dela Eden,Ewe of West Africa unisexual name meaning &quot;savior.&quot;,F,African
Dela Eden,Ewe of West Africa unisexual name meaning &quot;savior.&quot;,M,African
Dela O Kande,Nigerian name for girls born after many males.,F,African
Delaine,From the elder tree grove.,M,French
Delaine,From the elder tree grove.,M,Irish
Delancy,From the elder tree grove.,M,French
Delancy,From the elder tree grove.,M,Irish
Delane,From the elder tree grove.,M,French
Delane,From the elder tree grove.,M,Irish
Delaney,From the elder tree grove.,M,French
Delaney,From the river Slaney,M,Irish
Delanie,Challenger,F,Irish
Delano,From the elder tree grove.,M,French
Delano,From the elder tree grove.,M,Irish
Delano,healthy black man,M,Gaelic
Delbert,Proud: Noble: bright.,M,English
Delbin,flower,F,Greek
Delcine,Sweet,F,Spanish
Delfina,Dolphin. Variant of the thirteenth-century French saint Delphine.,F,Spanish
Delia,from Delos,F,Romanian
Delia,myth name,F,Greek
Delice,Variant of Latin Delicia meaning Gives pleasure.,F,English
Delicia,Charming,F,Spanish
Delight,pleasure,F,French
Delight,Pleasure or youthful,F,French
Delight,Variant of Latin Delicia meaning Gives pleasure.,F,English
Delila,Desired. Languishing. The Biblical Delilah tempted Samson into revealing the secret of his superhuman strength.,F,Hebrew
Delilah,desired,F,Hebrew
Delilah,Desired. Languishing. The Biblical Delilah tempted Samson into revealing the secret of his superhuman strength.,F,Hebrew
Delinda,Of beauty,F,Spanish
Delisa,Variant of Latin Delicia meaning Gives pleasure.,F,English
Delisha,Variant of Latin Delicia meaning Gives pleasure.,F,English
Delissa,Variant of Latin Delicia meaning Gives pleasure.,F,English
Delit,Pleasure,F,French
Deliza,Variant of Latin Delicia meaning Gives pleasure.,F,English
Dell,Noble.,F,English
Dell,Noble.,F,German
Della,bright,F,German
Della,Bright. Noble.,F,German
Della,Noble.,F,English
Delma,Noble protector.,F,German
Delma,Of the sea,F,Spanish
Delman,man from the valley.,M,English
Delmar,Mariner,M,French
Delmar,Of the sea,F,Spanish
Delmar,Of the sea,M,Spanish
Delmara,Of the sea,F,Spanish
Delmare,Of the sea,F,French
Delmer,Mariner Of the sea.,M,French
Delmi,Noble protector.,F,German
Delmira,Noble protector.,F,German
Delmon,Of the mountain.,M,English
Delmon,Of the mountain.,M,French
Delmont,Of the mountain.,M,English
Delmont,Of the mountain.,M,French
Delmore,Of the sea.,M,French
Delmy,Noble protector.,F,German
Delora,Variant of Dolores meaning sorrows.,F,English
Delores,Variant of Dolores meaning sorrows.,F,English
Deloris,Variant of Dolores meaning sorrows.,F,English
Delphia,Dolphin. Variant of the thirteenth-century French saint Delphine.,F,Spanish
Delphina,Little Flower: Dolphin.,F,Greek
Delphine,A thirteenth-century French saint.,F,French
Delphine,from Delphi,F,Greek
Delphinus,myth name (a scout of Poseidon),M,Greek
Delray,Of the King.,M,French
Delrick,Of the King.,M,French
Delrico,Of the King.,M,French
Delron,Of the King.,M,French
Delroy,Of the King.,M,French
Delsin,He is so,M,Native American
Delta,born fourth,F,Greek
Delton,From the town in the valley.,M,English
Delvin,Godly friend.,M,English
Delvon,Godly friend.,M,English
Delyssa,Variant of Latin Delicia meaning Gives pleasure.,F,English
Deman,judge,M,Anglo
Deman,Judge,M,Anglo-Saxon
Deman,tame,M,Dutch
Demarcus,,M,Unknown
Demario,Masculine form of the Greek Damaris gentle.,M,Spanish
Demas,popular,F,Greek
Demason,Judge's son,M,English
Demasone,Judge's son,M,English
Demelza,Fortified. A place name in Cornwall.,F,English
Demetria,myth name (goddess of the harvest),F,Greek
Demetrius,gift from Demeter,M,Greek
Demi,Abbreviation of Demetria - the mythological goddess of corn and harvest.,F,English
Demi,name taken from heraldry,F,French
Demissie,Amharic of Ethiopia name meaning &quot;destroyer.&quot;,M,African
Demodocus,myth name (a blind bard),M,Greek
